id;city_id;county_id;district_id;country_id;country_name;district_name;county_name;city_name;created_at;updated_at;contry_shrt
26052;35;1563;194575;1;Türkiye;Hacıhasan;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25620;35;1178;41339;1;Türkiye;Hacı İbrahim;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25559;35;1128;193057;1;Türkiye;Hacıömerli;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25833;35;1334;41434;1;Türkiye;Hacıveli;Foça;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25919;35;1461;41462;1;Türkiye;Halilbeyli;Kemalpaşa;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25884;35;1461;140027;1;Türkiye;Halilbeyli Osb;Kemalpaşa;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26063;35;1563;194619;1;Türkiye;Hamam;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25895;35;1461;194181;1;Türkiye;Hamzababa;Kemalpaşa;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25937;35;1467;194249;1;Türkiye;Hamzahocalı;Kınık;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25652;35;1181;193461;1;Türkiye;Hamzalısüleymaniye;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25971;35;1521;194449;1;Türkiye;Hasanlar;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25635;35;1178;41357;1;Türkiye;Hasköy;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25844;35;1432;194139;1;Türkiye;Hasseki;Karaburun;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25624;35;1178;41340;1;Türkiye;Hatay;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25964;35;1521;194427;1;Türkiye;Hatundere;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26107;35;1612;194655;1;Türkiye;Havutçulu;Selçuk;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25610;35;1178;193271;1;Türkiye;Havuzbaşı;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25958;35;1521;194429;1;Türkiye;Haykıran;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25685;35;1181;193637;1;Türkiye;Hisarköy;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25592;35;1178;193195;1;Türkiye;Hisarlık;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
26090;35;1611;41615;1;Türkiye;Hıdırlık;Seferihisar;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25556;35;1128;193067;1;Türkiye;Horozgediği;Aliağa;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
26031;35;1563;194507;1;Türkiye;Horzum;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26069;35;1563;41575;1;Türkiye;Hürriyet;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26114;35;1677;139638;1;Türkiye;Hürriyet;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25938;35;1467;194253;1;Türkiye;İbrahimağa;Kınık;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25634;35;1178;41354;1;Türkiye;İbrahimçavuş;Bayındır;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
26084;35;1611;194633;1;Türkiye;İhsaniye;Seferihisar;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25695;35;1181;193697;1;Türkiye;İkizler;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25783;35;1251;194069;1;Türkiye;Ildır;Çeşme;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25673;35;1181;193563;1;Türkiye;Ilgıncaber;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25802;35;1251;41414;1;Türkiye;Ilıca;Çeşme;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25825;35;1334;194125;1;Türkiye;Ilıpınar;Foça;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25877;35;1448;41122;1;Türkiye;İmbatlı;Karşıyaka;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25654;35;1181;193463;1;Türkiye;İncecikler;Bergama;İzmir;2025-09-03 12:13:10.562733+00;2025-09-03 12:13:10.562733+00;tr
25991;35;1521;41535;1;Türkiye;İncirli Pınar;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25855;35;1432;194157;1;Türkiye;İnecik;Karaburun;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25728;35;1181;41367;1;Türkiye;İnkılap;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26073;35;1563;41576;1;Türkiye;İnönü;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25997;35;1521;41552;1;Türkiye;İnönü;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25756;35;1203;40977;1;Türkiye;İnönü;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25882;35;1448;41138;1;Türkiye;İnönü;Karşıyaka;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26140;35;1677;41643;1;Türkiye;İpekçiler;Tire;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25992;35;1521;41534;1;Türkiye;Irmak;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26111;35;1612;41629;1;Türkiye;İsa Bey;Selçuk;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26034;35;1563;194509;1;Türkiye;Işık;Ödemiş;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25936;35;1467;194251;1;Türkiye;Işıklar;Kınık;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25753;35;1203;40976;1;Türkiye;Işıklar;Bornova;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25861;35;1432;41444;1;Türkiye;İskele;Karaburun;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25730;35;1181;41368;1;Türkiye;İslamsaray;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25702;35;1181;193743;1;Türkiye;İsmailli;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25707;35;1181;193765;1;Türkiye;İsmailli Hacılar;Bergama;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
26008;35;1521;41521;1;Türkiye;İsmet İnönü;Menemen;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
25798;35;1251;41409;1;Türkiye;İsmet İnönü;Çeşme;İzmir;2025-09-03 12:13:12.340775+00;2025-09-03 12:13:12.340775+00;tr
